IncidentNumber,IncidentDate,Exposures,Patients,IncidentTime,Address,Latitude,Longitude,StationNumber,IncidentType,Complete,Reviewed,RunNumber,Imported
2016-8000556,2016-05-20,1,0,14:39:43,227 S OAKWOOD DR Novato CA 94947,38.0524,-122.5156,MA,"140 - Natural vegetation fire, other",TRUE,TRUE,MW-F16013711,FALSE
2016-7503030,2016-05-14,1,0,15:21:49,480 BAHIA WAY San Rafael CA 94901,37.9641,-122.5008,54,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16013097,FALSE
2016-7502904,2016-05-08,1,0,16:59:01,2980 KERNER BLVD San Rafael CA 94901,37.9554,-122.4974,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16012540,FALSE
2016-7502738,2016-04-30,1,0,19:54:31,435 LOS CERROS DR Kentfield CA 94904,37.9535,-122.5331,MA,"141 - Forest, woods or wildland fire",TRUE,TRUE,SN-F16011816,FALSE
2016-7502733,2016-04-30,1,0,18:18:32,150 GLACIER PT San Rafael CA 94901,37.9499,-122.4896,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16011801,FALSE
2016-7502727,2016-04-30,1,0,14:35:40,N. San Pedero san rafael CA 94903,37.9922,-122.5305,57,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16011777,FALSE
2016-7501722,2016-03-18,1,0,18:19:27,31 ARGUELLO CIR SAN RAFAEL CA 94901,37.984,-122.4912,55,143 - Grass fire,TRUE,TRUE,SF-F16007540,FALSE
2016-7501719,2016-03-18,1,0,17:22:18,79 INVERNESS DR SAN RAFAEL CA 94901,37.9803,-122.4865,55,"140 - Natural vegetation fire, other",TRUE,TRUE,SF-F16007534,FALSE
2015-006466,2015-10-13,1,0,19:20:41,1312 MISSION AVE SAN RAFAEL CA 94901,37.9751,-122.5304,51,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SF-F15026560,FALSE
2015-005764,2015-09-12,1,0,15:11:33,33 CASTLE ROCK AVE SAN RAFAEL CA 94901,38.0071,-122.6361,52,"140 - Natural vegetation fire, other",TRUE,TRUE,SF-F15023536,FALSE
2015-005723,2015-09-12,1,0,1:05:43,700 DU BOIS ST SAN RAFAEL CA 94901,37.9671,-122.5215,52,143 - Grass fire,TRUE,TRUE,SF-F15023479,FALSE
2015-000860,2015-09-11,1,0,17:17:09,99 TODD'S RD NOVATO CA 94949,38.0603,-122.5263,58,143 - Grass fire,TRUE,TRUE,MW-F15023439,FALSE
2015-005713,2015-09-11,1,0,15:39:08,Latitude: 38.041658 Longitude: -122.537243,38.025,-122.5384,58,"140 - Natural vegetation fire, other",TRUE,TRUE,SF-F15023429,FALSE
2015-000859,2015-09-11,1,0,15:39:08,265 Johnstone Dr. RD SAN RAFAEL CA 94903,38.025,-122.5384,58,143 - Grass fire,TRUE,TRUE,MW-F15023429,FALSE
2015-005662,2015-09-09,1,0,16:12:03,GOLD HILL GRADE SAN RAFAEL CA 94901,37.9824,-122.5078,52,"140 - Natural vegetation fire, other",TRUE,TRUE,SF-F15023198,FALSE
2015-1505172,2015-08-19,1,0,15:59:09,42 LOS RANCHITOS RD San Rafael CA 94903,37.9912,-122.5321,7,143 - Grass fire,TRUE,TRUE,,TRUE
2015-1505155,2015-08-18,1,0,21:17:55,33 CASTLE ROCK AVE WOODACRE CA 94973,38.007,-122.6358,1,"141 - Forest, woods or wildland fire",TRUE,TRUE,,TRUE
2015-005155,2015-08-18,1,0,21:17:55,33 CASTLE ROCK AVE Woodacre CA 94973,38.0071,-122.6361,51,"140 - Natural vegetation fire, other",TRUE,TRUE,SF-F15021092,FALSE
2015-1505047,2015-08-14,1,0,17:12:23,1 THORNDALE DR San Rafael CA 94903,38.005,-122.5475,6,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2015-1504896,2015-08-07,1,0,16:58:13,524 BRET HARTE RD SAN RAFAEL CA 94901,37.9614,-122.5221,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2015-1504800,2015-08-03,1,0,17:47:16,1600 N SAN PEDRO RD SAN RAFAEL CA 94901,37.9955,-122.4573,5,143 - Grass fire,TRUE,TRUE,,TRUE
2015-1504769,2015-08-02,1,0,1:14:19,668 IRWIN ST SAN RAFAEL CA 94901,37.9681,-122.5212,2,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2015-1504630,2015-07-27,1,0,14:56:06,350 SMITH RANCH RD San Rafael CA 94903,38.0194,-122.5227,8,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2015-1504222,2015-07-05,1,0,17:26:53,500 UPPER RD SANTA VENICIA CA 94903,38.0148,-122.5056,7,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2017-7503644,2017-06-01,1,0,14:07:17,3501 CIVIC CENTER DR San Rafael CA 94903,37.9986,-122.5311,57,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F17016347,FALSE
2017-7503394,2017-05-21,1,0,16:22:01,263 N SAN PEDRO RD San Rafael CA 94903,38.0054,-122.521,57,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F17015279,FALSE
2017-7503320,2017-05-18,1,0,16:15:19,540 FRANCISCO BLVD W San Rafael CA 94901,37.9649,-122.5158,54,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F17014977,FALSE
2017-7503277,2017-05-16,1,0,17:25:52,25 Westwood DR San Rafael CA 94901,37.9723,-122.5468,51,"141 - Forest, woods or wildland fire",TRUE,TRUE,SN-F17014804,FALSE
2017-7502782,2017-04-23,1,0,16:37:21,1 SAINT VINCENTS DR San Rafael CA 94903,38.0341,-122.5251,58,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F17012521,FALSE
2016-7506641,2016-10-19,1,0,10:40:24,101 HWY San Rafael CA 94901,37.9504,-122.5115,51,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16028169,FALSE
2016-7506212,2016-09-30,1,0,0:00:00,100 MARIN VALLEY DR Novato CA 94949,38.0438,-122.5233,MA,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16026378,FALSE
2016-7506155,2016-09-27,1,0,18:05:50,20 OLIVA DR # B Novato CA 94947,38.1136,-122.5962,MA,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16026123,FALSE
2016-7506127,2016-09-26,1,0,18:28:32,Shevelin Rd/ Shon Dr Novato CA 94947,38.0871,-122.5664,MA,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16026011,FALSE
2016-7506120,2016-09-26,1,0,14:43:29,1004 LOS GAMOS RD # F San Rafael CA 94903,38.0089,-122.5455,56,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16025989,FALSE
2016-7506034,2016-09-23,1,0,8:43:47,SB 101 HWY SAN Rafael CA 94901,37.948,-122.5132,54,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16025651,FALSE
2016-7505950,2016-09-19,1,0,1:35:09,111 SHORELINE PKY San Rafael CA 94901,37.9533,-122.4927,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16025232,FALSE
2016-7505811,2016-09-14,1,0,16:41:18,E Sir Francis Drake BLVD San Rafael CA 94901 East of Andersen Dr.,37.9467,-122.4926,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16024780,FALSE
2016-7505660,2016-09-07,1,0,19:42:46,74 OAK RIDGE RD San Rafael CA 94903,37.9928,-122.5487,57,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16024150,FALSE
2016-7505571,2016-09-03,1,0,22:54:51,640 MISSION AVE San Rafael CA 94901,37.9743,-122.522,52,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16023776,FALSE
